LFQ intensity KO_I	LFQ intensity KO_II	LFQ intensity KO_III	LFQ intensity WT_I	LFQ intensity WT_II	LFQ intensity WT_III	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
0	0	0	0	0	0				4	2	2	4	2.9	2.9	181.62	0.0013158	2.6892	1506700	6	A0A8I6G3L7;A0A0G2K5Z1;A0A8I5ZRP1;A0A8I6A4M2;A0A8I5Y183;G3V6C9;A0A8I6AWL9;O54874	A0A8I6G3L7;A0A0G2K5Z1;A0A8I5ZRP1;A0A8I6A4M2;A0A8I5Y183;G3V6C9;A0A8I6AWL9;O54874	Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha	Cdc42bpa	398
0	0	0	0	0	0				1	1	1	7.5	7.5	7.5	20.977	0.00068894	3.1446	2849500	21	A0A0G2K617;A0A8I6AT52;Q569B7	A0A0G2K617;A0A8I6AT52;Q569B7	RWD domain-containing protein 4	Rwdd4	399
0	0	0	0	0	0				1	1	1	33	33	33	11.541	0	9.1187	186190	1	A0A0G2K637;D3Z9P5	A0A0G2K637;D3Z9P5		Pole4	400
278010	0	0	351430	0	0				2	2	2	10.8	10.8	10.8	33.746	0.0004	5.0047	13353000	50	Q4V7A0;A0A0G2K648;A0A8I6AU87	Q4V7A0;A0A0G2K648;A0A8I6AU87	WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed	Wdr61	401
20888000	10549000	12359000	8388900	9906000	10227000				13	3	3	36.8	9.9	9.9	21.316	0	47.717	504570000	415	A0A0G2K654;P06349;D4A3K5	A0A0G2K654			402
0	0	366700	0	0	632310				6	6	6	18.9	18.9	18.9	59.081	0	12.875	7835200	49	A0A0G2K675;Q2A121	A0A0G2K675;Q2A121	Alpha-ketoglutarate-dependent dioxygenase FTO	Fto	403
0	8428200	0	0	7396300	0				3	2	2	19.2	19.2	19.2	16.601	0.00074432	4.0482	118050000	22	A0A0G2K689	A0A0G2K689			404
735560	1119100	73521	2213000	2246600	1806300				74	74	74	45.4	45.4	45.4	234.62	0	323.31	409680000	1331	A0A0G2K695;D4ACN7;A0A8I5ZNP5;A0A8I6AE02;A0A8I6GC82;D4A6X1;A0A8I5ZVI7;A0A8I5Y164;A0A8I6GEZ7;A0A8I5ZKQ3;A0A8I5ZKH0;A0A8I6GM91;A0A0G2K7B6	A0A0G2K695;D4ACN7;A0A8I5ZNP5;A0A8I6AE02;A0A8I6GC82		Myof	405
0	0	0	0	0	0				5	5	5	11.6	11.6	11.6	61.373	0.00069662	3.2726	3938300	14	A0A0G2K6A2;A0A8I6A1V8;Q641Z2	A0A0G2K6A2;A0A8I6A1V8;Q641Z2	Tyrosine-protein phosphatase non-receptor type 9	Ptpn9	406
349900	403530	209260	297360	316870	0				10	10	10	13.8	13.8	13.8	113.26	0	27.804	17018000	80	A0A0G2K6C9;A0A0H2UHJ5;Q562A2	A0A0G2K6C9;A0A0H2UHJ5;Q562A2	Zinc finger RNA-binding protein	Zfr	407
0	0	0	0	0	0				1	1	1	1.3	1.3	1.3	144.71	0.001328	2.7817	615440	4	A0A0G2K6D0;A0A8I6ADI5;A0A8I6GMA3;A0A8I5ZM74;A0A8I5ZXR3;A0A8I6A5T3	A0A0G2K6D0;A0A8I6ADI5;A0A8I6GMA3;A0A8I5ZM74;A0A8I5ZXR3;A0A8I6A5T3			408
0	825580	717940	0	848060	944180				8	8	8	10.3	10.3	10.3	108.54	0	12.593	24505000	58	D3ZUF9;A0A8I6AJT9;A0A8I5ZWG5;A0A0G2K6D5	D3ZUF9;A0A8I6AJT9;A0A8I5ZWG5;A0A0G2K6D5		Pitrm1	409
0	414650	563770	186140	420570	582570				12	12	12	14.4	14.4	14.4	146.11	0	58.678	27288000	180	A0A8I6B3N0;E9PSJ4;A0A8I5ZJK4;A0A0G2K6E8;A0A8I5Y1R0;A0A8I6AXC7;A0A8I6B484;A0A8I6A5S1;A0A8I6GI46;E9PSK7;A0A8I6B3P0;A0A8I5ZV07;A0A8I6AME2	A0A8I6B3N0;E9PSJ4;A0A8I5ZJK4;A0A0G2K6E8;A0A8I5Y1R0;A0A8I6AXC7;A0A8I6B484;A0A8I6A5S1		Spag9	410
0	0	0	0	0	0				5	5	5	16.5	16.5	16.5	53.774	0	35.042	7368500	47	A0A8I5ZPS2;A0A0G2K6F1;F1M9Y7	A0A8I5ZPS2;A0A0G2K6F1;F1M9Y7		Tcp11l1	411
0	0	0	0	0	0				4	4	4	13.6	13.6	13.6	50.764	0	23.148	3464200	13	A0A0G2K6F9;A0A8J8XR33;A0A8I5ZY65;A0A0G2JWP1;A0A8I5ZW25	A0A0G2K6F9;A0A8J8XR33;A0A8I5ZY65;A0A0G2JWP1			412
0	0	0	0	0	0				3	3	3	14.4	14.4	14.4	44.491	0	7.0101	2332500	22	A0A0G2K6G2;A0A8I5ZUF8;Q7TP48;D3ZGQ3	A0A0G2K6G2;A0A8I5ZUF8;Q7TP48	Adipocyte plasma membrane-associated protein	Apmap	413
0	0	0	0	0	0				3	3	3	2.7	2.7	2.7	160.44	0.0003937	4.693	1262100	8	A0A0G2K6G5;D3Z9D2	A0A0G2K6G5;D3Z9D2		Fyco1	414
0	0	0	0	0	0				2	2	2	9.1	9.1	9.1	31.31	0.00067797	2.9968	2483300	15	A0A0G2K6H5;Q75UQ2	A0A0G2K6H5;Q75UQ2	Craniofacial development protein 1	Cfdp1	415
0	293980	0	151600	211200	0				3	3	3	7.2	7.2	7.2	98.945	0	6.2138	5947400	24	A0A0G2K6J2;A0A8I5ZV08;A0A8I5ZK64;A0A8I5ZQ41;F1LPA4;O08874	A0A0G2K6J2;A0A8I5ZV08;A0A8I5ZK64;A0A8I5ZQ41;F1LPA4;O08874	Serine/threonine-protein kinase N2	Pkn2	416
0	0	0	0	0	0				2	2	2	2.6	2.6	2.6	117.02	0.0094145	1.7831	124620	2	A0A0G2K6J6	A0A0G2K6J6			417
0	0	0	0	0	0				1	1	1	10.7	10.7	10.7	19.485	0.00075786	4.2256	1140700	4	D4A2Q7;A0A0G2K6N9;A0A8I6GB27;A0A8I6AQ21;A0A8I5ZSV2	D4A2Q7;A0A0G2K6N9;A0A8I6GB27;A0A8I6AQ21;A0A8I5ZSV2		Commd4	418
0	0	0	0	0	0				3	3	3	2.8	2.8	2.8	187.55	0.0027847	2.2121	2676600	7	F1LV37;A0A8I6ADQ2;A0A8I5ZN70;A0A8I5ZQG5;A0A0G2K6R0;A0A8I6A501	F1LV37;A0A8I6ADQ2;A0A8I5ZN70;A0A8I5ZQG5;A0A0G2K6R0		Tnrc6b	419
0	0	0	0	0	0				2	2	2	2.2	2.2	2.2	184.96	0.0007278	3.7601	3256100	27	A0A8I6AS32;A0A0G2K6T6	A0A8I6AS32;A0A0G2K6T6			420
393870	708480	565650	492450	578070	468400				10	10	10	21.5	21.5	21.5	82.629	0	30.702	35801000	165	F1LQ81;A0A8I6AP08;A0A0G2K6U1;Q9QUL6	F1LQ81;A0A8I6AP08;A0A0G2K6U1;Q9QUL6	Vesicle-fusing ATPase	Nsf	421
0	0	0	0	0	0				6	6	6	23.2	23.2	23.2	60.914	0	23.868	8802100	15	A0A0G2K6U3;Q68FR5;A0A8I5ZMG9;A0A8I5ZYA1	A0A0G2K6U3;Q68FR5;A0A8I5ZMG9;A0A8I5ZYA1	Transmembrane protein 209	Tmem209	422
0	0	0	0	0	0				4	4	4	10.3	10.3	10.3	79.089	0	18.411	2208700	13	A0A8I6GJH6;A0A8I6AC19;A0A8I5Y5N7;A0A8I5ZU08;A0A0G2K6X6;A0A8I5Y7M0;O08679	A0A8I6GJH6;A0A8I6AC19;A0A8I5Y5N7;A0A8I5ZU08;A0A0G2K6X6;A0A8I5Y7M0;O08679	Serine/threonine-protein kinase MARK2	Mark2	423
0	0	0	0	0	0				2	2	2	15.8	15.8	15.8	29.139	0.00041356	5.4666	5392400	2	M0R930;A0A0G2K6Y9;O70257	M0R930;A0A0G2K6Y9;O70257	Syntaxin-7	LOC100910446;Stx7	424
0	0	0	0	0	0				8	8	8	9.6	9.6	9.6	131.66	0	8.2448	6725100	19	A0A0G2K6Z8;D3ZRT6;A0A8I6A7D6;A0A8I6GKY3;A0A8I6A1V7;A0A8I6A229;A0A8I5ZXL6	A0A0G2K6Z8;D3ZRT6;A0A8I6A7D6;A0A8I6GKY3;A0A8I6A1V7;A0A8I6A229;A0A8I5ZXL6		Plekha7	425
720570	529090	532870	685300	513170	1238000				11	11	11	20.2	20.2	20.2	56.598	0	29.993	29972000	150	A0A0G2K700;P40615	A0A0G2K700;P40615	H/ACA ribonucleoprotein complex subunit 4	Dkc1	426
0	0	0	0	0	0				2	2	2	3.7	3.7	3.7	90.346	0	8.7899	780540	5	A0A8I6AMF2;F1M9Q1;A0A0G2K712	A0A8I6AMF2;F1M9Q1;A0A0G2K712		Tbc1d5	427
0	0	0	0	0	0				3	3	3	24.9	24.9	24.9	20.555	0	5.7318	2224100	7	A0A0G2K724;A0A8I6ADP8;Q4G009;A0A8I5ZRS5	A0A0G2K724;A0A8I6ADP8;Q4G009	Malignant T-cell-amplified sequence 1	Mcts1	428
0	0	0	0	0	0				1	1	1	1.6	1.6	1.6	92.71	0.0013167	2.6935	0	2	A0A8I6G2K8;B3STT9;A0A0G2K736	A0A8I6G2K8;B3STT9;A0A0G2K736		Kdm1a	429
957770	1462200	1685300	918730	1557900	1636600				11	11	11	52.5	52.5	52.5	31.587	0	70.588	95533000	330	A0A8I5ZWH0;A0A0G2K737;A0A8I6AHS3;Q920J4;A0A8I5ZZI7;A0A8I5ZXD4	A0A8I5ZWH0;A0A0G2K737;A0A8I6AHS3;Q920J4;A0A8I5ZZI7;A0A8I5ZXD4	Thioredoxin-like protein 1	Txnl1	430
5930200	4567400	1504300	7381300	5421800	2293300				2	2	2	20.9	20.9	20.9	13.006	0	17.318	177420000	248	D3Z8D7;A0A0G2K743;D4A636;P62856;A0A0G2JY64;A0A0G2JVP7;D3ZJ54	D3Z8D7;A0A0G2K743;D4A636;P62856;A0A0G2JY64;A0A0G2JVP7;D3ZJ54	40S ribosomal protein S26	LOC100361854;Ikzf4;Rps26;RGD1565117	431
0	0	0	0	0	0				1	1	1	12.2	12.2	12.2	17.17	0.0042437	2.0378	899150	5	A0A0G2K747;P28042	A0A0G2K747;P28042	Single-stranded DNA-binding protein, mitochondrial	Ssbp1	432
2202600	1159800	0	1782800	1516900	298430				15	15	15	41.3	41.3	41.3	67.546	0	200.38	130510000	460	A0A8I6ABV8;A0A0G2K757;A0A8I6AC60;P25235	A0A8I6ABV8;A0A0G2K757;A0A8I6AC60;P25235	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	Rpn2	433
0	0	0	0	0	0				3	3	3	7.5	7.5	7.5	71.613	0	6.6214	2690400	20	F7EK49;A0A0G2K8T2;A0A8I6AGU0;A0A8I6AVD9;A0A0G2K777;A0A8I6AMM4	F7EK49;A0A0G2K8T2;A0A8I6AGU0;A0A8I6AVD9;A0A0G2K777;A0A8I6AMM4			434
0	0	0	0	0	0				2	2	2	4.7	4.7	4.7	58.128	0.00071174	3.4901	2279800	10	D3ZCI0;A0A0G2KA23;A0A8J8YI12;A0A0G2K785;Q63060	D3ZCI0;A0A0G2KA23;A0A8J8YI12;A0A0G2K785;Q63060	Glycerol kinase	Gk	435
0	0	0	0	0	0				7	7	7	5.8	5.8	5.8	200.99	0	12.637	4411700	19	D3ZX13;A0A0G2K7C2;A0A8I6AFD4	D3ZX13;A0A0G2K7C2;A0A8I6AFD4	Kinesin-like protein	Kif20b	436
0	0	0	0	0	0				2	2	2	12.3	12.3	12.3	36.524	0.00041408	5.4751	2371800	5	A0A0G2K7G1;A0A8I5ZT92;Q6AY87	A0A0G2K7G1;A0A8I5ZT92;Q6AY87	THO complex subunit 6 homolog	Thoc6	437
348760	311630	0	274870	279750	0				8	5	5	29.6	21.7	21.7	49.856	0	20.093	11376000	48	G3V9Z6;A0A0G2K7G7;A0A8I6G6V9;A0A0G2JVY6;B0BNF1	G3V9Z6;A0A0G2K7G7;A0A8I6G6V9;A0A0G2JVY6;B0BNF1	Septin-8	Sept8	438
424200	663630	0	739070	787290	362150				12	12	12	26.8	26.8	26.8	66.133	0	31.083	25581000	103	A0A0G2K7K2;Q9JM53	A0A0G2K7K2;Q9JM53	Apoptosis-inducing factor 1, mitochondrial	Aifm1	439
0	0	0	0	0	0				3	3	3	14.9	14.9	14.9	42.346	0.00038023	4.2576	2432500	8	A0A8I6AUQ3;A0A8I6AFB6;D3ZQM7;A0A8I6AUY6;A0A0G2K7L4	A0A8I6AUQ3;A0A8I6AFB6;D3ZQM7;A0A8I6AUY6;A0A0G2K7L4		Itpk1	440
0	0	0	0	0	0				2	1	1	2.8	1.8	1.8	106.05	0.00039062	4.5773	2600700	14	A0A0G2K7L8;F1LMS5;P49744	A0A0G2K7L8;F1LMS5;P49744	Thrombospondin-4	Thbs4	441
0	0	0	0	0	0				2	2	2	1.3	1.3	1.3	318.65	0.00070897	3.4407	2684800	6	A0A0G2K7N8;A0A8I6ALT2;A0A8I6GLB4;A0A8I5ZVH2;A0A8I6GFZ0	A0A0G2K7N8;A0A8I6ALT2;A0A8I6GLB4;A0A8I5ZVH2;A0A8I6GFZ0			442
0	0	0	0	0	0				4	4	4	3.9	3.9	3.9	172.16	0.00038956	4.5511	3637100	13	A0A0G2K7N9	A0A0G2K7N9			443
0	0	0	0	0	0				1	1	1	4.5	4.5	4.5	53.133	0.001875	2.2932	964330	5	A0A0G2K7Q5	A0A0G2K7Q5			444
0	0	0	0	0	0				2	2	2	16.2	16.2	16.2	23.218	0	10.685	3989300	15	M0RC66;A0A0G2K7Q6;P39069	M0RC66;A0A0G2K7Q6;P39069	Adenylate kinase isoenzyme 1	Ak1	445
901340	0	0	806220	749000	0				9	9	9	10.8	10.8	10.8	114.41	0	12.852	24862000	96	A0A8I6A841;A0A0G2K7Q7;A0A8I6A860;P35559	A0A8I6A841;A0A0G2K7Q7;A0A8I6A860;P35559	Insulin-degrading enzyme	Ide	446
641580	870580	615130	597310	726060	733400				9	9	9	37	37	37	44.925	0	51.566	40954000	170	A0A0G2K7T1;B1H227;A0A8I5ZMN7;A0A8I6AEW5;A0A8I5ZU07	A0A0G2K7T1;B1H227;A0A8I5ZMN7;A0A8I6AEW5;A0A8I5ZU07		Rcc1	447
0	0	0	0	0	0				4	4	4	7.4	7.4	7.4	80.051	0.00073665	3.923	3132500	16	A0A8I6GLL8;A0A8I5ZWN3;A0A0G2K7T2;O35826	A0A8I6GLL8;A0A8I5ZWN3;A0A0G2K7T2;O35826	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;UDP-N-acetylglucosamine 2-epimerase (hydrolyzing);N-acetylmannosamine kinase	Gne	448
379870	833400	0	335850	439500	0				16	16	12	20	20	15.5	151.25	0	37.233	29281000	115	A0A8I5ZYP2;A0A0G2K7W4;A0A8I5ZLV4;A0A8I6ADP3;A0A8I5ZL09;F1M754;A0A8I6AT99;A0A8I6AHN7;A0A8I6GFX7	A0A8I5ZYP2;A0A0G2K7W4;A0A8I5ZLV4;A0A8I6ADP3;A0A8I5ZL09;F1M754;A0A8I6AT99;A0A8I6AHN7		Map4k4	449
0	0	0	0	0	0				1	1	1	10.9	10.9	10.9	14.199	0.0015664	2.3194	1184200	8	A0A8I5Y9H6;A0A0G2K7W8;A0A8I5ZLP8;A0A8I6GJQ3;F1M9G8;Q8K3P7	A0A8I5Y9H6;A0A0G2K7W8;A0A8I5ZLP8;A0A8I6GJQ3;F1M9G8;Q8K3P7	Histidine triad nucleotide-binding protein 3	Hint3	450
0	0	0	0	0	0				2	2	2	3	3	3	113.13	0.00038373	4.3991	281570	3	H9KVF6;A0A0G2K7Z9;E9PTG8	H9KVF6;A0A0G2K7Z9;E9PTG8	Serine/threonine-protein kinase 10	Stk10	451
0	0	0	0	0	0				1	1	1	3.4	3.4	3.4	45.679	0.0013302	2.7959	5209200	43	A0A0G2K824;A0A8I5ZKL2;Q5XIC1	A0A0G2K824;A0A8I5ZKL2;Q5XIC1	Mannose-1-phosphate guanyltransferase alpha	Gmppa	452
0	628660	0	479260	511510	388150				3	3	3	8.6	8.6	8.6	64.839	0	12.143	15910000	85	A0A0G2K850;A0A8J8Y9N6;B1WC50;A0A140UHY3;A0A8I6A3F5	A0A0G2K850;A0A8J8Y9N6;B1WC50;A0A140UHY3		Ewsr1	453
0	296750	0	0	196050	0				4	4	4	6.4	6.4	6.4	170.45	0	20.962	4300700	20	D3ZYR0;A0A8I5Y1Y6;A0A0G2K860	D3ZYR0;A0A8I5Y1Y6;A0A0G2K860		Arhgef12	454
2559900	2233700	1642800	1510300	1701400	2482600				19	12	11	39.5	28.5	26.9	69.914	0	82.13	172840000	496	A0A0G2K890;A0A8I5Y4R7;P31977;A0A8I6A8I6;A0A8I5ZWW5	A0A0G2K890;A0A8I5Y4R7;P31977;A0A8I6A8I6	Ezrin	Ezr	455
0	0	0	0	0	0				1	1	1	6.9	6.9	6.9	28.548	0.00039417	4.7251	1917200	11	D3ZRV0;A0A8I6AI94;A0A0G2K8D6;A0A8I5Y621;A0A8I6ADB9;A0A8I5ZYZ4	D3ZRV0;A0A8I6AI94;A0A0G2K8D6;A0A8I5Y621;A0A8I6ADB9;A0A8I5ZYZ4	DCN1-like protein	Dcun1d1	456
0	0	0	0	0	0				2	2	2	8.8	8.8	8.8	57.658	0.00075614	4.197	1680600	8	A0A0G2K8I4;A0A8I6A0I0;F1LPC5	A0A0G2K8I4;A0A8I6A0I0;F1LPC5		Tmem259	457
0	0	0	0	0	0				1	1	1	4.8	4.8	4.8	43.899	0.0012662	2.4213	433440	2	D3ZC34;A0A0G2K8N6	D3ZC34;A0A0G2K8N6		Ankmy2	458
0	0	0	0	0	0				1	1	1	5.2	5.2	5.2	29.45	0.0013128	2.6766	2010900	1	A0A0G2K8N7;A0A1B0GWP1	A0A0G2K8N7;A0A1B0GWP1			459
0	0	0	0	0	0				1	1	1	3.2	3.2	3.2	102.21	0	9.5882	178070	1	A0A0G2K8N9;A0A8I6AQL7	A0A0G2K8N9;A0A8I6AQL7			460
239440	0	0	0	247010	255380				1	1	1	3	3	3	76.185	0	10.248	3078500	18	A0A8I6ANC7;A0A0G2K8P0;A0A8I5ZWI5;A0A8I5Y6C7;Q5XIA4	A0A8I6ANC7;A0A0G2K8P0;A0A8I5ZWI5;A0A8I5Y6C7;Q5XIA4	CCR4-NOT transcription complex subunit 10	Cnot10	461
2488200	1994400	548420	4468600	3028900	1718900				26	26	7	42.9	42.9	10.3	102.75	0	323.31	434220000	1192	A0A0G2K8P3;A0A0G2K0B4;A0A8I5ZLT5;A0A8I6ANY7;Q62940;A0A8I6GFW6;A0A8I6AED0;A0A8I6ATW8	A0A0G2K8P3;A0A0G2K0B4;A0A8I5ZLT5;A0A8I6ANY7;Q62940;A0A8I6GFW6	E3 ubiquitin-protein ligase NEDD4	Nedd4	462
0	0	0	0	0	0				2	2	2	27	27	27	8.3435	0	8.5984	3618300	22	A0A8I6AT83;A0A0G2K8Q7;A0A0G2KAB8;Q6MG66	A0A8I6AT83;A0A0G2K8Q7;A0A0G2KAB8;Q6MG66		Lsm2	463
361160	0	0	207460	0	0				4	4	4	7.9	7.9	7.9	84.384	0	10.263	7882200	38	A0A1W2Q6L1;A0A0G2K8S0;A0A8I5ZN80;A0A8I6A005;F1M024;G3V6B0;A0A0G2K7V9	A0A1W2Q6L1;A0A0G2K8S0;A0A8I5ZN80;A0A8I6A005;F1M024;G3V6B0;A0A0G2K7V9		Pdxdc1	464
0	0	0	0	0	0				4	4	4	6	6	6	91.961	0	5.9814	2377200	14	A0A0G2K8S6;O88941	A0A0G2K8S6;O88941	Mannosyl-oligosaccharide glucosidase	Mogs	465
0	0	0	0	0	0				3	3	3	24.4	24.4	24.4	21.532	0	6.9044	2349800	21	A0A8I6A9E3;A0A8I6AIY8;A0A0G2K8S8	A0A8I6A9E3;A0A8I6AIY8;A0A0G2K8S8			466
0	0	0	0	0	0				3	3	3	10.5	10.5	10.5	48.282	0	5.7461	1404700	7	A0A0G2K8T0;Q6P7S1	A0A0G2K8T0;Q6P7S1	Acid ceramidase	Asah1	467
3431900	2724900	2259500	4804300	6476800	4670100				68	68	68	65.9	65.9	65.9	116.57	0	323.31	1532900000	3471	R9PXU6;A0A0G2K8V2;P85972	R9PXU6;A0A0G2K8V2;P85972	Vinculin	Vcl	468
106020	0	0	513950	0	0				9	9	9	8.3	8.3	8.3	185.63	0	16.248	9140500	66	A0A0G2K8V3;F1M0V4;F1LZ00	A0A0G2K8V3;F1M0V4		Thoc2	469
0	0	0	0	0	0				1	1	1	9.9	9.9	9.9	23.043	0.00073746	3.9364	225320	1	A0A8I6GLY4;A0A0G2K8X3;A0A8I6A8R3;A0A8I5ZY50;Q7TPA0;A0A8I6A692	A0A8I6GLY4;A0A0G2K8X3;A0A8I6A8R3;A0A8I5ZY50;Q7TPA0;A0A8I6A692		Pid1	470
0	0	0	0	0	0				4	4	3	2.5	2.5	1.8	201.79	0.00039841	4.9483	7323000	36	A0A0G2K8Z9	A0A0G2K8Z9			471
0	0	0	0	0	0				3	3	3	4.1	4.1	4.1	109.38	0	6.6815	602440	3	A0A8I6AB75;A0A8I6A3K4;A0A0G2K904;A0A8I5ZXX7	A0A8I6AB75;A0A8I6A3K4;A0A0G2K904;A0A8I5ZXX7			472
0	442730	1159700	0	213260	932580				7	7	7	27.6	27.6	27.6	37.249	0	18.805	18043000	98	A0A8I6A2Y8;A0A0G2K911;A0A8I6GA62;O35987	A0A8I6A2Y8;A0A0G2K911;A0A8I6GA62;O35987	NSFL1 cofactor p47	Nsfl1c	473
0	0	0	0	0	0				5	2	2	3.9	1.8	1.8	249.06	0.00074906	4.1342	1008300	5	A0A8I6A225;A0A8I6A9N7;E9PTK9;A0A0G2K916;A0A8I6AP24	A0A8I6A225;A0A8I6A9N7;E9PTK9;A0A0G2K916;A0A8I6AP24		Ankhd1	474
2999200	1372900	887800	1768200	1329700	755420				17	17	17	53	53	53	40.598	0	147.54	163620000	478	A0A0G2K931;A0A8I5Y182;A0A0G2KAC0	A0A0G2K931;A0A8I5Y182			475
471580	334720	605350	1059300	1187000	839070				20	20	16	29	29	23.7	103.16	0	78.265	75139000	318	A0A0G2K943;F7F1Y0;P18484;A0A8I6AGL2	A0A0G2K943;F7F1Y0;P18484;A0A8I6AGL2	AP-2 complex subunit alpha-2	Ap2a2	476
0	0	0	0	0	0				3	3	3	9.9	9.9	9.9	58.143	0.00074822	4.1175	2673900	15	D3ZFC3;D3Z9N6;A0A0G2K944;D4A8Y6;Q9ERB4	D3ZFC3;D3Z9N6;A0A0G2K944;D4A8Y6;Q9ERB4	Versican core protein	Vcan	477
0	0	0	0	0	0				4	4	4	8.3	8.3	8.3	96.521	0	8.8413	4309100	26	A0A8I5ZPB3;A0A0G2K945;D4A7Q9	A0A8I5ZPB3;A0A0G2K945;D4A7Q9		Gtf3c3	478
0	0	0	0	0	0				3	2	2	8.3	6	6	69.411	0.00038183	4.3054	3058800	12	B5DFH4;A0A0G2K950	B5DFH4;A0A0G2K950		Papss2	479
627800	0	0	922280	742590	545730				7	7	7	25.3	25.3	25.3	31.306	0	9.216	23394000	65	A0A8I6A4E6;A0A0G2K974;E9PTI6	A0A8I6A4E6;A0A0G2K974;E9PTI6		Raly	480
0	0	0	0	0	0				6	6	6	4.2	4.2	4.2	225.39	0.00040617	5.2119	4652500	20	D3ZDA6;A0A0G2K999	D3ZDA6;A0A0G2K999		Sdk2	481
328530	424430	0	491360	389960	0				5	5	5	17	17	17	52.071	0	11.788	11136000	50	F1LMJ8;A0A0G2K9A1;Q99P63	F1LMJ8;A0A0G2K9A1		Micu2	482
0	0	0	0	0	0				1	1	1	2.9	2.9	2.9	74.113	0.00073529	3.9006	3141700	21	Q6QI90;A0A0G2K9A7	Q6QI90;A0A0G2K9A7		Wdr75	483
474910	385100	0	419660	401900	0				11	11	8	20.5	20.5	17.2	120.5	0	125.23	20935000	88	D3ZJU5;A0A0G2K9D6;A0A8I6AMA8;A0A8I5ZP90	D3ZJU5;A0A0G2K9D6;A0A8I6AMA8;A0A8I5ZP90		Smarcc1	484
329430	0	0	340980	0	0				6	6	6	16.4	16.4	16.4	66.57	0	17.335	7157200	54	A0A0G2K9F0;A0A8I6GLG6;A0A8I6AGI2;Q810T5;A0A8I6A312;D3ZCG0	A0A0G2K9F0;A0A8I6GLG6;A0A8I6AGI2;Q810T5;A0A8I6A312;D3ZCG0	Histone acetyltransferase KAT7;Histone acetyltransferase	Kat7	485
286110	0	0	390280	370170	0				7	7	7	12.7	12.7	12.7	87.46	0	9.2038	11179000	53	A0A0G2K9F2;A0A8I6A2E1;A0A8I6ARH7;A0A8I6A9M7;A0A8I6GHU4	A0A0G2K9F2;A0A8I6A2E1;A0A8I6ARH7;A0A8I6A9M7			486
1652200	2094700	1784700	2875700	2736300	1465200				20	20	15	41.8	41.8	33.3	62.672	0	107.85	247710000	714	A0A0G2K9J1;M0R735;A0A8I5ZZ72;Q7TP47;A0A8I5ZXH7	A0A0G2K9J1;M0R735;A0A8I5ZZ72;Q7TP47;A0A8I5ZXH7	Heterogeneous nuclear ribonucleoprotein Q	Syncrip	487
0	0	0	0	0	0				2	2	2	3.6	3.6	3.6	87.451	0.000702	3.3473	1741500	10	A0A0G2K9J8;F1M3U9;A0A8I6GK98;A0A8I6AFM3;A1A5P5	A0A0G2K9J8;F1M3U9;A0A8I6GK98;A0A8I6AFM3;A1A5P5	LisH domain-containing protein ARMC9	Armc9	488
0	0	0	0	0	0				6	6	6	1.5	1.5	1.5	630.05	0	7.8	6601600	13	A0A0G2K9L9	A0A0G2K9L9			489
0	0	0	0	0	0				4	4	4	6.6	6.6	6.6	126.07	0	20.474	2439200	14	A0A8I6A9P8;A0A0G2K9M5	A0A8I6A9P8;A0A0G2K9M5			490
0	0	0	0	0	0				2	2	2	11.5	11.5	11.5	43.43	0.00039339	4.6775	2475000	10	A0A0G2K9N0;A0A8J8XM71	A0A0G2K9N0;A0A8J8XM71			491
713910	537380	0	313930	92649	0				29	29	28	19.5	19.5	19.2	304.28	0	78.611	45149000	237	Q63269;A0A0G2K9N6;A0A0G2K260	Q63269;A0A0G2K9N6	Inositol 1,4,5-trisphosphate receptor type 3	Itpr3	492
0	0	0	0	0	0				6	6	6	9.9	9.9	9.9	111.79	0	12.195	5498100	25	A0A0G2K9Q3;Q6QI44	A0A0G2K9Q3;Q6QI44	N-alpha-acetyltransferase 25, NatB auxiliary subunit	Naa25	493
0	0	0	0	0	0				2	2	2	3.7	3.7	3.7	98.044	0.00038197	4.3082	888650	3	A0A8I6AVL7;A0A0G2K9T1;A0A8I5ZZU1	A0A8I6AVL7;A0A0G2K9T1;A0A8I5ZZU1			494
0	0	0	0	0	0				3	3	3	8.6	8.6	8.6	94.943	0	20.758	5442500	32	A0A0G2K9T9;F7EYG9	A0A0G2K9T9;F7EYG9			495
2044300	1636400	640550	1776100	1748000	713640				23	23	22	43.6	43.6	41.4	83.388	0	78.697	172950000	493	A0A0G2K9V6;A0A8I5ZX23;A0A8I6AQ83;Q5XHY5	A0A0G2K9V6;A0A8I5ZX23;A0A8I6AQ83;Q5XHY5	Threonine--tRNA ligase, cytoplasmic	Tars	496
